"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","CL","V","Ka","RSV","OMEGA(1,1)","OMEGA(2,2)","OMEGA(3,3)","SIGMA(1,1)","seCL","seV","seKa","seRSV","seOMEGA(1,1)","seOMEGA(2,2)","seOMEGA(3,3)","seSIGMA(1,1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8"
313,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,30.52,14.15,4593.23646496028,1.42442,4.29136,0.0699107,0.195822,0.0960059,0.0717072,0.0464745,1,0.0350623,0.0347506,0.0897493,0.00976396,0.017602,0.0131538,0.0466389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,25.33,10.55,4598.51930806488,1.38401,4.25402,-0.238028,0.174428,0.101579,0.0823643,0.0469823,1,0.0342855,0.0356164,0.0744341,0.00858986,0.0160056,0.0171881,0.0388482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,1,1,1,1,1,0,0,0,0,0,0,0,2.6,NA,FOCE_I,0:02:00,77.45,12.88,4604.48861302565,1.44506,4.24208,-0.153303,0.188774,0.0990748,0.110941,3.29779e-007,1,0.0339745,0.0405823,0.0659804,0.00823693,0.0171124,0.0190835,4.52847e-007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:02:00,54.07,11.55,4629.29384316025,1.45877,4.22168,-0.0970282,0.190291,0.0832569,0.0904134,0.11892,1,0.0298538,0.0395395,0.100989,0.00790381,0.0174872,0.0174554,0.0603596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:02:00,47.33,12.66,4601.14475753324,1.39894,4.28628,0.0137956,0.196879,0.0632375,0.0805906,0.166066,1,0.0302193,0.0380136,0.127559,0.00918765,0.0136199,0.0223911,0.0951958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,1,1,1,1,1,0,0,0,0,0,0,0,2.6,NA,FOCE_I,0:01:00,35.89,12.25,4604.56550473788,1.38201,4.23693,0.0240261,0.185534,0.0793457,0.0923589,0.102411,1,0.0302253,0.0357932,0.0930687,0.00866786,0.0123821,0.016557,0.0668067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,44.62,12.64,4633.26529860487,1.36759,4.21696,-0.0341187,0.178444,0.0718528,0.118102,0.0500228,1,0.0304906,0.0381878,0.0801065,0.00744846,0.0118392,0.0171159,0.0825038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,1,1,1,1,1,0,0,0,0,0,0,0,2.6,NA,FOCE_I,0:01:00,31.62,9.61,4654.4055615113,1.41304,4.21526,-0.274206,0.190363,0.082552,0.0977696,0.131308,1,0.0339026,0.0376585,0.0938422,0.00731733,0.0140537,0.0188248,0.0587807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,51.14,13.14,4560.22176730187,1.46099,4.20478,-0.0518392,0.182089,0.104704,0.0785975,0.136502,1,0.0332186,0.0351405,0.0956495,0.00792416,0.0169797,0.0180166,0.0826684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,44.81,13.3,4616.51913509404,1.4308,4.22235,-0.0845976,0.184313,0.0915475,0.0833585,0.120559,1,0.0336749,0.0350747,0.104299,0.00731541,0.0136865,0.018001,0.11026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
